0,3.4623906922805188
1,3.448585969900429
2,3.302096997651222
3,3.3825441272560353
4,3.3386901669877975
5,3.3796422669941037
6,3.403836472994037
maximun,3.4623906922805188
minimum,3.302096997651222
d,0.16029369462929655
0,3.4674277763209447
1,3.3568960246005806
2,3.303389847840516
3,3.3825441272560353
4,3.3515975764205614
5,3.3821617146742597
6,3.3971181973531674
maximun,3.4674277763209447
minimum,3.303389847840516
d,0.16403792848042853
mean,3.37730503778
var,0.00215808019367
0,3.4630178978339936
1,3.4383694164521024
2,3.307719805881062
3,3.3825441272560353
4,3.3386901669877975
5,3.3796422669941037
6,3.396268205535386
maximun,3.4630178978339936
minimum,3.307719805881062
d,0.15529809195293165
mean,3.38660741242
var,0.00245650552552
result,3.38906391795
