0,3.401149799307128
1,3.2262375654318842
2,3.3653769099983717
3,3.370054663665129
4,3.3268448442275296
5,3.400162925499686
6,3.4351570139168395
7,3.1952041641873894
8,3.3111386772502884
maximun,3.4351570139168395
minimum,3.1952041641873894
d,0.23995284972945008
mean,3.33681406261
var,0.00586482345721
result,3.34267888607
0,3.401149799307128
1,3.2262375654318842
2,3.3653769099983717
3,3.370054663665129
4,3.3268448442275296
5,3.400162925499686
6,3.4351570139168395
7,3.1952041641873894
8,3.3111386772502884
maximun,3.4351570139168395
minimum,3.1952041641873894
d,0.23995284972945008
mean,3.33681406261
var,0.00586482345721
result,3.34267888607
0,3.401149799307128
1,3.2262375654318842
2,3.3653769099983717
3,3.370054663665129
4,3.3268448442275296
5,3.400162925499686
6,3.4351570139168395
7,3.1952041641873894
8,3.3111386772502884
maximun,3.4351570139168395
minimum,3.1952041641873894
d,0.23995284972945008
mean,3.33681406261
var,0.00586482345721
result,3.34267888607
